mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
11,42.73599999999999,5,gaussian,temp_forest_mod,500,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.015810815172737747,0.011598951175616046,1.523232669914878,1.5288322567020385,1.2341931250476474,1.2364595653324206,0.15816229631692447,0.15893741110374918,0.9812421417123595,0.9823696837029727
12,80.42700000000002,5,gaussian,temp_forest_mod,1000,5,0.001,1e-4,0.632,56,Eigen,16,0.8,0.024832145890376855,0.017573496180401715,1.509270328236,1.519590990585113,1.2285236376382833,1.2327169142123073,0.1575343992568603,0.1585333128755389,0.9758060978244391,0.978638617044935
13,37.653999999999996,5,gaussian,temp_forest_mod,300,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.014938750776387844,0.008980174674224295,1.5245823667000777,1.5328829100205301,1.2347397971637901,1.2380964865552806,0.15820749893066088,0.15909525769227253,0.9820069305322002,0.9841644732519085
14,60.754999999999995,5,gaussian,temp_forest_mod,500,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.022473602808039006,0.01305029882459574,1.5129206527181263,1.5265873510495325,1.230008395385221,1.235551436019372,0.15768032676804336,0.15881843742288104,0.9777110647958887,0.9817700576340956
15,110.69400000000007,5,gaussian,temp_forest_mod,1000,7,0.001,1e-4,0.632,56,Eigen,16,0.8,0.036282470298894975,0.019410974546499316,1.4915486254485022,1.5167488282862938,1.221289738534023,1.2315635705420545,0.15669514762237058,0.15837261859337884,0.9697286487046132,0.9778664303522737
16,62.944999999999936,5,gaussian,temp_forest_mod,300,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.026701614918191674,0.010036893550925519,1.5063769451929205,1.531248405578342,1.227345487298878,1.2374362228326525,0.15734968699735286,0.15900713193406843,0.9760015905419621,0.9837221241014236
17,102.98500000000013,5,gaussian,temp_forest_mod,500,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.04095164347706426,0.014442881453788137,1.4843221315628516,1.5244333415549405,1.2183275961591167,1.2346794489076671,0.1563236843718126,0.15869809520581182,0.9681838521538403,0.9811852308643632
18,191.81899999999996,5,gaussian,temp_forest_mod,1000,10,0.001,1e-4,0.632,56,Eigen,16,0.8,0.06948234186084457,0.020876566061331703,1.4401650807197361,1.5144818906037714,1.200068781662008,1.2306428769565,0.15422460460620482,0.1582299656463911,0.9523308614410206,0.9773071501181212
19,20.381000000000085,5,gaussian,temp_forest_mod,300,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,4.2626257442202053e-4,4.4037205180813555e-4,1.5470433899380729,1.5460920478806601,1.243801989843268,1.2434194979493687,0.1592085731751329,0.1596662448498763,0.9901473522764933,0.9889990343615616
20,24.482999999999947,5,gaussian,temp_forest_mod,500,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,7.059502101339765e-4,7.409032471097365e-4,1.5466105165122563,1.5456271942809308,1.243627965475309,1.2432325584060815,0.15918990119752177,0.15964654307405082,0.9899873712484994,0.9888211330013003
21,38.75999999999999,5,gaussian,temp_forest_mod,1000,1,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0013634826643984521,0.0014464799649316351,1.5455928514827013,1.544535827120741,1.243218746433105,1.2427935577241866,0.15914590887604096,0.1596002336915221,0.9896080345171413,0.9884011083864855
22,21.45900000000006,5,gaussian,temp_forest_mod,300,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,7.017003353058104e-4,6.79045966540337e-4,1.5466170940567785,1.5457228734649613,1.2436306099709746,1.2432710378131397,0.15919078806455417,0.1596516117506496,0.989990364201125,0.9888573727601854
23,29.538999999999987,5,gaussian,temp_forest_mod,500,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.001161594774528818,0.0011392503231409945,1.5459053139993095,1.5450110416980052,1.2433444068315542,1.242984731079994,0.15916050160495926,0.15962201348122354,0.9897273680698334,0.9885847675632984
24,47.78600000000006,5,gaussian,temp_forest_mod,1000,2,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0022508761838963,0.0022036658899583506,1.5442194297658116,1.5433646322217893,1.2426662583999823,1.2423222738974735,0.1590885462699193,0.1595541150019723,0.9891041160936164,0.9879522985218162
25,23.473000000000184,5,gaussian,temp_forest_mod,300,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,8.725441332898543e-4,7.569150253383672e-4,1.5463526785779727,1.5456024276914253,1.2435242975422607,1.2432225978043616,0.15917885686057975,0.15964837822900918,0.9898896792315496,0.9887957992336837
26,33.62999999999988,5,gaussian,temp_forest_mod,500,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0014448231365065123,0.0012615251871630484,1.545466960580412,1.5448219102148657,1.2431681143676474,1.2429086491833845,0.15914072948135058,0.15961705691503983,0.9895600045283832,0.988488491362233
27,56.96499999999992,5,gaussian,temp_forest_mod,1000,3,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0028086169529338845,0.002449276906253739,1.543356212638618,1.542984727683282,1.2423188852459008,1.2421693635262794,0.15904962874124107,0.15954387031500353,0.9887738209273207,0.9877597482324281
